geo,name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,,,,,,,0.00085,0.0009,0.00197,0.00193,0.00189,0.00364,0.0053,,0.00491,0.00474,0.00457,0.02089,0.02536,0.02573,0.04354,0.05199,0.06801,0.06642,0.07963,0.08009
ago,Angola,,,,,,,,,0.03726,0.05631,0.07388,0.06692,0.06439,0.06531,0.08147,0.08516,0.32308,0.54539,0.29032,0.32055,0.35007,0.36777,0.36326,0.39093,0.3867,0.37367
alb,Albania,,,,,,,,0.00884,,0.33081,2.13837,3.10656,3.60359,4.40357,5.5013,6.27864,7.16191,8.37878,9.19224,10.4757,12.5058,15.1193,17.7209,19.6304,20.6989,22.5049
and,Andorra,,,,,1.72616,5.18234,8.45207,13.3568,18.3653,22.6266,24.7584,27.3472,30.3596,33.1216,35.017,36.8833,39.017,42.5278,45.0118,46.4786,47.4482,47.543,48.656,50.2769,51.2051,51.7401
are,UAE,,0.01185,0.05648,0.22489,0.42034,0.72337,1.2677,2.77226,4.80366,6.75244,8.84669,10.294,11.3401,12.0422,12.7381,13.3038,13.2546,14.2305,14.3683,29.9083,32.3591,32.4803,34.3453,36.5005,36.8486,37.0968
arg,Argentina,,,,0.24984,0.38917,0.67366,1.3986,2.36307,3.99704,6.49728,7.70515,8.59391,9.75627,10.956,12.2115,14.6798,15.153,15.7689,16.5185,17.7082,18.9759,19.5519,21.1798,23.15,24.6832,25.3581
arm,Armenia,,,,0.00019,0.00026,0.00033,0.03308,0.06619,,0.1311,0.46618,1.35419,3.19289,5.49292,7.25581,8.31673,9.33763,9.80149,10.2498,10.8173,11.9399,13.2819,14.8884,16.2566,17.7301,18.5458
atg,Antigua and Barbuda,,,,,,,2.11131,7.28668,1.91182,2.77343,6.0136,19.0251,8.34388,6.94991,14.9782,17.7678,12.1151,11.1846,10.2935,9.94827,,8.75618,8.71023,8.66279,10.6818,
aus,Australia,,,,0.63412,1.31715,2.60754,5.04822,9.93373,18.9407,,24.8706,23.9682,24.8853,24.6978,25.0956,25.7399,27.7001,28.5118,30.3083,32.0326,33.5486,34.5434,35.3468,35.836,36.3933,36.6047
aut,Austria,,0.63694,2.37741,3.98646,5.58055,7.39911,10.6442,14.2663,17.3158,19.5493,20.7731,22.5106,24.5114,24.9926,25.2645,26.3223,27.5977,28.4069,28.8776,28.5426,28.515,28.3632,29.2106,29.2537,29.2343,29.3725
aze,Azerbaijan,,,,,0.01201,,,0.0254,0.0454,0.16538,0.67094,1.10542,5.19627,10.5213,14.6072,18.0146,19.7076,19.4759,18.2771,18.1092,18.8342,19.2178,19.5986,20.0857,20.3656,20.8825
bdi,Burundi,,,,,,,,,,,0.00188,0.00179,0.00375,0.00511,0.00697,0.01469,0.01574,0.02508,0.02887,0.03401,0.03318,0.03175,0.03353,0.03049,0.03007,0.02034
bel,Belgium,0.10722,0.22496,1.40674,4.47177,7.89142,11.9786,15.5446,19.187,23.2412,25.6894,27.8486,29.1619,30.8426,32.1032,33.2388,34.3085,35.782,36.5492,37.6813,38.4911,39.4007,39.9518,41.024,43.0218,43.5657,43.7026
ben,Benin,,,,,0.00027,0.00027,0.00099,0.00233,0.01723,0.00793,0.09128,0.20044,0.27593,0.37187,0.40164,0.39665,0.41178,0.64488,0.19062,0.23767,0.21831,0.19986,0.22939,0.15417,0.15307,0.17088
bfa,Burkina Faso,,,,,0.00039,0.00111,0.00114,0.00276,0.01193,0.04544,0.06728,0.07605,0.08472,0.0844,0.08344,0.07325,0.02967,0.04981,0.06405,0.06213,0.06761,0.05732,0.06508,0.07407,0.06691,
bgd,Bangladesh,,,,,,,,,,0.02954,0.03345,0.20991,0.27238,0.30503,0.38722,0.97445,1.95814,3.06992,4.09944,4.50131,4.92462,4.90289,6.04506,6.64247,7.1702,7.89246
bgr,Bulgaria,,,,,,,0.08583,2.15033,5.03478,8.29162,11.1942,13.3284,15.1221,17.0297,18.2007,19.5682,20.5011,22.4944,23.8177,25.3925,27.1034,28.8837,30.5043,32.7688,34.9668,37.0236
bhr,Bahrain,,,,0.16801,0.66206,1.20021,1.71624,2.29808,3.8837,6.45476,8.35342,11.7871,12.7684,24.158,24.2856,23.8669,21.9044,18.4749,16.2552,13.1015,8.43442,9.49013,10.1824,16.5058,18.0026,17.1582
bhs,Bahamas,,,,1.26252,2.27373,3.25996,3.768,3.89132,4.7624,5.80188,7.12052,8.70676,6.72204,4.16863,20.7554,19.129,20.1853,21.0247,21.9371,22.2462,20.6785,20.8513,20.9668,20.7423,21.1356,23.8163
bih,Bosnia and Herzegovina,,,0.00065,0.00163,0.00509,0.0359,0.16028,0.33448,0.98443,2.11019,4.77411,7.52909,10.2559,11.4984,12.7897,14.2931,15.2155,18.0469,19.0748,20.4261,21.1505,22.295,23.3508,24.5891,27.319,28.5064
blr,Belarus,,,,,0.0002,0.00125,0.0077,0.01618,0.11885,1.77563,5.01587,11.4889,17.5606,22.1485,26.755,29.4348,28.3377,30.6041,32.293,33.3125,33.7712,34.0724,34.8152,35.0098,34.0672,35.0932
blz,Belize,,,,,,0.35636,1.04053,1.7953,2.51669,2.52617,2.6439,2.66783,2.78381,2.96305,2.98223,2.8979,2.8373,4.87718,5.03804,5.09268,6.48509,7.67179,9.21159,9.10595,9.75386,
bol,Bolivia,,,,,0.03741,0.06342,0.09477,0.13859,0.18473,0.35079,0.80515,0.95978,0.9423,0.71062,1.10983,1.44251,1.59263,1.64281,2.57235,3.34958,4.38026,6.39917,7.88672,9.44574,10.9975,
bra,Brazil,0.00058,0.00403,0.05747,0.18775,0.40952,0.53496,1.72846,1.75095,2.55394,4.03572,5.26189,6.10683,7.27968,9.13182,9.71151,10.7622,11.9791,12.6354,13.2177,14.1218,15.1538,15.8622,17.4181,19.8363,20.9534,22.4192
brb,Barbados,,,,,,10.279,11.085,11.8873,14.3703,17.3738,18.0467,20.9048,20.4147,22.6821,24.1513,24.4172,27.9255,28.0544,31.0757,31.8877,31.8263,37.9802,45.4387,36.3513,37.4843,
brn,Brunei,,,,0.56878,0.81065,1.10721,1.77439,2.26404,2.45816,3.13234,4.47097,5.20299,5.53077,5.80512,4.89426,6.70157,7.26071,8.15349,8.44786,9.49045,11.2953,12.2425,15.8868,17.581,19.805,20.212
btn,Bhutan,,,,,,,,,,,0.30014,0.48675,1.2364,1.86544,2.33744,2.8239,3.40713,3.76361,2.20481,2.2148,1.42177,1.14719,0.41415,0.36457,0.63182,1.31882
bwa,Botswana,,,,,,,,0.08696,0.09602,0.18522,0.45642,0.50234,0.58915,0.92234,1.05453,1.00856,1.53266,1.67228,2.64264,1.43086,1.74169,2.10301,3.58604,5.54838,4.53192,3.41003
caf,Central African Republic,,,,,,,,,,,,,,0.01774,0.01312,,,0.04014,0.01561,0.01291,0.01246,0.01009,,0.00976,0.01608,
can,Canada,0.46442,1.91449,4.56733,9.08579,11.1461,14.1756,16.8551,21.5905,24.555,27.4244,29.4247,30.4201,31.6318,32.6506,33.4739,34.2683,35.2694,36.4699,36.8233,37.8277,38.7334,40.0768,40.795,41.6931,42.1792,42.5242
che,Switzerland,,,0.7853,1.93734,6.25409,10.689,16.6219,22.4604,27.4143,31.5503,33.4518,35.4268,37.2299,38.8955,40.16,42.4918,43.1732,44.6716,45.0861,46.3318,45.605,46.9124,46.4814,47.9433,46.6748,47.6963
chl,Chile,,,0.04954,0.42542,1.18839,2.19806,2.95838,4.33405,6.12777,7.81156,8.47544,9.72782,10.4145,11.591,12.3655,12.9766,13.9369,15.0681,15.9005,16.501,17.2067,17.865,19.4306,22.014,22.7902,22.9954
chn,China,,,0.00178,0.0263,0.25632,0.86666,1.91534,2.85109,3.85819,5.0093,6.21365,7.74497,9.34748,11.5043,12.7916,13.6989,14.4445,19.8438,22.9761,27.9101,28.7089,31.5611,33.907,37.5612,41.3736,44.7289
civ,Cote d'Ivoire,,,,,,0.00216,0.00422,0.00617,0.04867,0.04755,0.04648,0.04546,,,0.19673,0.23509,0.51721,0.43455,0.52475,0.53426,0.64054,0.76871,0.90391,1.13038,1.25179,1.36337
cmr,Cameroon,,,,,,,,0.00118,0.0024,0.00355,0.00463,0.00471,0.03027,0.05295,0.06654,0.07896,0.0763,0.08982,1.55529,1.58467,1.59561,1.57189,2.75682,2.23385,2.12862,
cod,"Congo, Dem. Rep.",,,,,,,,,,,,,,,,0.00059,0.00064,0.00123,0.00119,0.00115,0.00513,0.0128,0.03229,0.03127,0.03223,0.02199
cog,"Congo, Rep.",,,,,,,,,,,,0.00292,0.0056,0.02844,0.02936,0.00902,0.01005,,,,,,,0.2569,0.43588,1.26798
col,Colombia,,,0.0227,0.03483,0.08652,0.1574,0.30598,0.75645,1.47121,2.7919,4.04967,4.77684,5.90262,7.39764,8.61552,9.83199,10.799,11.7645,12.4648,13.1537,13.6229,13.9253,15.3363,16.4768,17.0075,17.037
com,Comoros,,,,,,,0.00017,0.00067,,0.01329,0.01748,0.01028,0.05024,0.05988,0.18089,0.18673,0.22249,0.22018,0.22029,0.21727,0.19842,0.16248,0.1481,0.15046,0.21937,0.38794
cpv,Cape Verde,,,,,,,0.05904,0.19315,0.36966,0.77249,1.47201,2.16778,3.15251,4.17091,3.87788,4.1392,3.72341,3.23345,3.03207,2.92322,3.04958,3.93928,4.82611,5.90962,6.56769,7.23009
cri,Costa Rica,,,,,0.22055,0.35948,0.66501,1.05401,1.92827,2.16883,2.47607,4.05917,8.69766,9.10623,9.61836,10.2813,10.8312,11.5951,13.131,15.1438,16.8377,18.0963,19.7191,20.9243,21.7576,22.5231
cub,Cuba,,,,,,,,,,0.01724,0.01989,0.02553,0.0328,0.03912,0.04435,0.04744,0.06905,0.07235,0.12807,0.29816,0.88035,1.63112,2.07272,2.67323,2.892,2.97118
cyp,Cyprus,,,,0.35436,0.82373,1.38788,2.32879,4.28172,8.32353,12.5725,18.4811,21.4899,23.1549,24.6113,25.4741,26.7127,28.7616,30.725,32.5787,34.215,35.8108,36.7753,37.0625,37.6671,37.8998,38.7322
cze,Czech Republic,,,0.02442,0.06059,0.14942,0.33848,2.29983,6.8974,10.7962,14.4785,16.9545,19.5386,21.6091,23.9064,25.2869,27.1727,28.4754,27.998,29.1491,29.8453,30.5513,35.4302,36.4491,37.4985,37.7137,37.91
deu,Germany,,,0.32397,2.56304,3.90528,5.44381,8.52694,13.1471,18.3315,24.2949,27.9989,30.8451,32.3663,33.7099,34.5501,35.3423,36.3409,37.4127,38.4991,39.9888,40.9651,42.1156,43.3049,44.0643,44.6186,45.3805
dji,Djibouti,,,0.00054,0.00065,0.00075,,,0.005,0.01776,0.12487,0.27455,0.5798,0.86622,1.19149,1.54198,1.79778,2.00475,2.36839,2.33941,2.3121,2.37974,2.24266,2.26685,1.39113,1.41246,1.47206
dma,Dominica,,,0.11677,0.25627,3.27351,3.86832,4.7386,4.94661,6.24945,7.26248,10.1664,10.6006,12.0696,12.0299,12.2978,15.3009,15.3255,21.5296,22.2495,22.5166,16.8891,22.3998,27.0611,20.9562,20.8601,
dnk,Denmark,,,1.25476,4.44127,8.39473,13.325,18.8283,24.7964,31.9143,34.8531,36.5083,36.6222,38.076,38.4725,38.9767,40.4678,41.4926,42.3133,42.9699,43.5698,43.7691,43.623,44.4186,44.9598,44.8864,44.0345
dom,Dominican Republic,,,,,,0.16703,0.4092,0.65771,1.10136,1.83755,2.4978,3.25513,3.97656,4.26237,4.80244,5.1669,5.81644,6.57516,7.21471,7.69279,7.98202,8.5357,9.37345,10.3195,10.6744,11.1346
dza,Algeria,,,,,,0.05594,0.11033,0.40774,0.5056,0.83956,1.393,2.30485,2.487,2.65762,3.06737,3.3321,4.08032,5.6706,7.00004,7.70046,7.21567,8.27527,8.60645,9.33184,10.3517,12.0087
ecu,Ecuador,,,,0.02032,0.04947,0.05172,0.08539,0.19345,0.32656,0.6979,1.0703,1.6271,1.46796,4.29932,5.41802,6.69605,8.2296,9.14528,9.75203,10.6125,11.4584,12.0672,13.5147,14.0284,15.1129,16.0679
egy,Egypt,,,,,0.06681,0.07045,0.09967,0.17386,0.31261,0.56651,0.89646,1.23139,1.62746,2.02567,2.45679,2.80726,3.14562,3.84188,4.39685,5.04732,6.26825,7.04131,8.53963,9.76582,10.6832,10.8645
eri,Eritrea,,,,,,,,,,,0.00156,0.00242,0.00401,0.0047,0.00609,0.00475,0.00646,0.0161,0.0192,0.03174,,0.09259,0.15192,0.14925,0.16539,
esp,Spain,,,0.18615,1.13127,2.98761,4.99201,7.86734,11.4543,15.0778,17.6986,19.7598,21.0155,22.7418,23.7623,24.5107,26.1459,27.8359,29.0099,30.1986,31.2965,32.2277,32.922,33.9528,34.9302,35.7846,37.2148
est,Estonia,,,,1.25878,3.37095,6.58715,10.1768,13.2266,18.3238,19.7619,22.0377,23.5008,26.1282,26.2888,26.4254,27.3877,28.2254,29.6883,31.4989,32.522,33.3725,33.8508,34.27,37.3572,39.7219,35.254
eth,Ethiopia,,,,,,0.00008,0.00005,0.00008,0.00032,0.00125,0.00175,0.00397,0.00454,0.00682,0.00891,0.24184,0.46609,0.4602,0.52381,0.0574,,0.13738,0.17827,0.39938,0.45158,
fin,Finland,,,0.67617,2.5829,5.25906,9.42076,15.3018,22.3824,27.1351,30.5746,30.4514,29.3246,29.0751,29.8056,30.4324,31.6268,32.197,31.5691,31.1529,31.0435,31.4917,32.544,33.3839,33.6397,34.2952,35.3318
fji,Fiji,,,,,,,,0.79331,0.95466,1.28086,1.44244,1.41418,2.55377,2.54658,1.47729,1.19245,1.35432,1.38627,1.34165,1.3208,2.08214,2.34496,2.52054,2.51573,2.53377,
fra,France,0.02318,0.09426,0.33051,1.00409,2.74337,5.87638,10.725,15.3688,20.4851,25.2273,28.4007,31.458,33.6454,35.6938,37.4346,38.7341,40.1422,41.3871,42.5278,43.6243,44.4142,45.2765,46.4712,47.6442,48.2502,48.6688
fsm,"Micronesia, Fed. Sts.",,,,,,0.00534,0.02323,0.04129,0.08579,0.10557,,,0.92803,,,1.90805,2.8525,3.01428,2.90534,3.449,,4.53383,5.4095,5.37519,5.81819,
gab,Gabon,,,,,,0.0123,0.04572,0.10454,0.11688,0.12742,0.13689,0.2225,0.23734,0.25253,0.27073,0.46522,0.5459,0.54297,0.71504,0.68371,0.95312,1.07496,1.92061,2.65142,3.30549,3.97293
gbr,UK,,,0.08956,0.55822,2.27824,5.20509,10.1777,16.3355,21.3149,25.3608,27.9071,28.6007,30.3961,32.4187,33.9048,35.782,36.5828,37.7215,38.6589,39.2489,39.8294,40.0228,40.5775,41.1135,41.2867,41.4368
geo,Georgia,,,,0.01021,0.02229,0.03451,0.04684,0.05936,0.67558,1.17792,2.8451,3.82756,4.68264,6.42341,12.0611,13.5709,15.8407,16.7647,17.9596,20.4644,22.5911,24.6806,25.512,26.6464,28.3337,29.3086
gha,Ghana,,,,,,,0.00412,0.00848,0.05533,0.06851,0.09476,0.11423,0.20445,0.24966,0.25485,0.2512,0.25023,0.25485,0.29498,0.18931,0.19998,0.1872,0.24577,0.35224,0.62494,0.55548
gin,Guinea,,,,,,,,,,,,,0.00481,0.00563,0.00641,0.00715,0.00784,0.0085,0.00911,0.0091,0.00955,0.00959,0.00748,0.00729,0.00628,
gmb,Gambia,,,,,,,0.00222,0.00426,,0.01523,0.0165,0.01603,0.01817,0.02203,0.02447,0.02082,0.12673,0.16062,0.1642,0.17078,0.18474,0.20351,0.19875,0.1941,0.21582,
gnb,Guinea-Bissau,,,,,,,,,,,,,0.05107,0.06219,0.07285,0.08561,0.08012,0.05883,0.04837,0.04544,0.06264,0.06236,0.11837,0.16043,0.21918,0.31045
gnq,Equatorial Guinea,,,,,,,,0.019,0.01818,0.01737,0.0166,0.01585,0.09974,0.10839,0.11442,0.26132,0.27725,0.26129,0.22424,0.12142,0.10022,0.05987,0.10737,0.09768,0.10069,
grc,Greece,,,,,,0.09595,0.47002,1.45805,4.43151,9.21147,13.6049,17.2544,20.2492,22.1831,24.3425,26.5619,28.9729,31.7814,33.5486,35.1351,36.9203,38.3566,39.7876,41.9213,42.923,43.854
grd,Grenada,,,,,0.51935,,0.55707,2.93619,5.03382,6.87646,8.07423,11.1196,12.938,13.0926,14.1875,15.8608,16.4818,17.2285,18.0848,19.2614,23.3268,27.4071,27.4641,26.1175,29.7674,
gtm,Guatemala,,,,,,,,0.20711,0.29175,0.41752,0.67814,1.09739,1.78619,,1.85758,2.29296,2.76586,2.87913,3.11026,3.2051,,3.42029,3.52589,3.47754,5.02439,5.08083
guy,Guyana,,,,,,,,0.26284,,0.31208,0.67373,0.9072,1.49388,2.75279,4.01735,4.91986,5.99619,7.07543,7.49174,8.44382,,10.2765,11.765,11.6496,12.9356,
hnd,Honduras,,,,,,,,,,,,,0.01195,0.6708,0.70312,0.77611,1.7417,2.13676,2.34145,2.48527,3.63393,3.9259,3.92223,4.09584,4.4098,4.36213
hrv,Croatia,,,,,,0.07895,0.60788,2.69359,5.83438,8.96789,12.2372,16.6419,19.48,20.8566,21.5819,22.5043,23.3319,23.5726,25.2341,26.8651,28.0156,28.9683,26.0745,26.7158,27.6607,28.471
hti,Haiti,,,,,,,,,,,,,,,,,,0.01281,0.01263,0.2764,0.2837,0.28005,0.27571,0.27254,0.30679,
hun,Hungary,,,0.03336,0.30869,1.09936,2.61462,4.07614,6.47435,11.9323,14.4957,17.6763,19.7645,21.6394,23.2549,24.1618,26.2622,26.1642,27.6322,28.6888,30.2136,31.5063,32.6466,33.4922,34.8392,36.5338,36.7902
idn,Indonesia,,,0.00185,0.00685,0.01725,0.02737,0.03725,0.04687,0.08308,0.32851,0.40871,0.76631,0.92581,1.09688,1.18046,1.27097,1.31336,1.52139,1.97538,2.32504,3.2873,3.77423,3.92994,4.48746,4.82152,4.81664
ind,India,,,,0.00464,0.00751,0.01257,0.02069,0.11674,0.1961,0.26288,0.43711,0.63203,0.88381,1.05859,1.1717,1.15198,1.2002,1.27579,1.38795,1.31327,1.32178,1.37913,1.63623,1.9488,2.35232,2.74535
irl,Ireland,,,,,0.26983,1.04685,3.74072,7.7612,13.1583,17.2691,19.8672,21.5358,22.3721,23.3814,24.175,25.7144,27.0222,27.8463,28.6148,29.0795,29.3513,29.6453,30.4353,31.3616,31.5363,31.8911
irn,Iran,,,0.00026,0.00098,0.02378,0.02719,,,0.13625,0.26809,0.39728,0.52316,1.27556,2.70427,4.79232,6.41818,7.53996,7.99893,9.0781,10.1144,11.3876,9.90927,10.9027,12.0681,12.2102,12.0206
irq,Iraq,,,,,,,,,0.00009,0.00035,0.00019,0.0004,0.01004,,,,,,,10.9105,11.1567,11.0678,14.8495,14.8275,14.4913,17.2313
isl,Iceland,,0.02918,0.83831,3.65686,8.4386,14.3544,19.0863,26.283,28.8732,32.0955,33.3897,33.6058,34.3263,34.9643,35.3508,36.2681,36.5321,37.5994,38.1505,39.1883,39.1065,38.603,38.6826,38.4077,37.4213,37.4246
isr,Israel,,,,0.70072,3.62669,9.73578,14.8146,18.2757,20.7626,21.9535,23.7765,23.9103,24.0161,25.1509,25.4608,25.8472,26.9843,26.984,27.503,28.0083,28.6132,28.6568,29.5678,29.7079,29.1677,29.4357
ita,Italy,,,0.2008,0.68056,1.4803,3.8968,8.12094,11.658,14.4626,17.1246,18.9321,20.1732,21.7705,22.3939,22.7375,23.1032,23.7084,24.5978,25.7337,27.4653,28.4649,29.0545,30.2586,31.2853,31.1914,31.8411
jam,Jamaica,,,,0.12327,0.34083,0.33878,1.01039,1.67469,2.52661,3.41838,3.57065,4.09942,4.2453,4.28434,4.4382,5.05861,5.42475,8.16725,10.1807,8.49219,10.0974,11.2602,13.622,14.5718,14.9602,15.7852
jor,Jordan,,,,0.00744,0.05657,0.08701,0.17722,0.39059,0.75648,1.30094,2.08642,3.33246,4.01911,3.96518,3.95794,4.10898,4.0013,3.245,2.97135,3.24328,3.81939,4.28693,5.80333,6.45877,7.07365,7.03749
jpn,Japan,0.02533,0.17068,0.67281,3.01351,7.37142,11.684,15.301,18.2163,20.6558,22.0966,23.5008,25.6358,26.6035,27.8667,28.2443,28.9051,29.6415,30.542,31.3036,31.8991,32.6965,33.5459,34.8371,35.9392,36.8414,38.6312
kaz,Kazakhstan,,,,,,0.00634,0.0126,0.01876,0.1894,1.66308,2.05339,3.47382,5.16487,6.99285,9.46082,11.1573,12.0564,12.7238,12.7965,13.8114,13.0002,13.0799,13.4503,13.9468,14.474,14.3457
ken,Kenya,,,,,,,,0.01508,0.04802,0.04663,0.00837,0.04504,0.01651,0.12663,0.12383,0.16481,0.22109,0.28692,0.27566,0.58601,0.73993,0.95929,1.29112,1.48254,1.47647,2.38883
kgz,Kyrgyz Republic,,,,,0.0007,0.00269,0.03665,0.04369,0.05229,0.05863,0.35624,0.32151,0.41977,0.69782,0.95873,2.34937,2.89415,3.52424,3.94327,4.14802,3.95179,4.14366,4.33664,4.43258,5.60484,6.44653
khm,Cambodia,,,,,0.00039,0.00321,0.00589,0.00744,0.02126,0.06105,0.11808,0.21013,0.24596,0.14943,0.19895,0.21521,0.42938,0.53448,0.61592,0.83139,1.02123,1.11872,1.3977,1.98089,2.96383,3.64182
kir,Kiribati,,,,,,,,0.32845,0.40193,0.49379,0.65725,0.71853,0.77826,0.76821,0.71248,0.61491,0.43355,0.10016,0.09284,0.09229,0.07126,0.08473,0.14671,0.08646,0.06898,0.03999
kna,St. Kitts and Nevis,,,,,1.08648,4.33125,9.50016,13.9975,18.8967,20.5541,23.7088,27.7091,31.1659,26.8737,27.6402,28.2564,29.7692,34.7782,30.1179,62.2147,34.8473,43.4039,45.9569,43.0255,46.7447,
kor,South Korea,0.03027,0.59759,8.27513,16.6187,21.9993,23.5267,24.9941,25.4761,29.2516,30.5325,32.0018,33.676,35.2563,36.3533,36.8,37.4218,37.9883,39.276,40.0712,41.1681,41.219,42.0374,43.0541,44.2526,45.4542,46.5676
